2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
2 r 14.9993; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9734; phi -0.0006; x 0.7487; y -0.0005; t_rel 0.9991;
2 r 14.9476; phi -0.0013; x 0.7474; y -0.0010; t_rel 0.9982;
2 r 14.9219; phi -0.0019; x 0.7461; y -0.0014; t_rel 0.9973;
2 r 14.8963; phi -0.0025; x 0.7448; y -0.0019; t_rel 0.9964;
2 r 14.8708; phi -0.0032; x 0.7435; y -0.0023; t_rel 0.9955;
2 r 14.8454; phi -0.0038; x 0.7423; y -0.0028; t_rel 0.9947;
2 r 14.8201; phi -0.0044; x 0.7410; y -0.0033; t_rel 0.9938;
2 r 14.7948; phi -0.0050; x 0.7397; y -0.0037; t_rel 0.9929;
2 r 14.7697; phi -0.0057; x 0.7385; y -0.0042; t_rel 0.9920;
2 r 14.7446; phi -0.0063; x 0.7372; y -0.0046; t_rel 0.9912;
2 r 14.7197; phi -0.0069; x 0.7360; y -0.0051; t_rel 0.9903;
2 r 14.6948; phi -0.0076; x 0.7347; y -0.0056; t_rel 0.9894;
2 r 14.6700; phi -0.0082; x 0.7335; y -0.0060; t_rel 0.9886;
2 r 14.6453; phi -0.0088; x 0.7322; y -0.0065; t_rel 0.9877;
2 r 14.6207; phi -0.0094; x 0.7310; y -0.0069; t_rel 0.9869;
2 r 14.5961; phi -0.0101; x 0.7298; y -0.0074; t_rel 0.9860;
2 r 14.5717; phi -0.0107; x 0.7285; y -0.0078; t_rel 0.9852;
2 r 14.5474; phi -0.0113; x 0.7273; y -0.0082; t_rel 0.9843;
2 r 14.5231; phi -0.0120; x 0.7261; y -0.0087; t_rel 0.9835;
2 r 14.4989; phi -0.0126; x 0.7249; y -0.0091; t_rel 0.9826;
2 r 14.4748; phi -0.0132; x 0.7237; y -0.0096; t_rel 0.9818;
2 r 14.4508; phi -0.0138; x 0.7225; y -0.0100; t_rel 0.9810;
2 r 14.4269; phi -0.0145; x 0.7213; y -0.0104; t_rel 0.9801;
2 r 14.4030; phi -0.0151; x 0.7201; y -0.0109; t_rel 0.9793;
2 r 14.3793; phi -0.0157; x 0.7189; y -0.0113; t_rel 0.9785;
2 r 14.3556; phi -0.0164; x 0.7177; y -0.0117; t_rel 0.9777;
2 r 14.3320; phi -0.0170; x 0.7165; y -0.0122; t_rel 0.9768;
2 r 14.3085; phi -0.0176; x 0.7153; y -0.0126; t_rel 0.9760;
2 r 14.2850; phi -0.0182; x 0.7141; y -0.0130; t_rel 0.9752;
2 r 14.2617; phi -0.0189; x 0.7130; y -0.0135; t_rel 0.9744;
2 r 14.2384; phi -0.0195; x 0.7118; y -0.0139; t_rel 0.9736;
2 r 14.2152; phi -0.0201; x 0.7106; y -0.0143; t_rel 0.9728;
2 r 14.1921; phi -0.0208; x 0.7095; y -0.0147; t_rel 0.9720;
2 r 14.1691; phi -0.0214; x 0.7083; y -0.0151; t_rel 0.9712;
2 r 14.1461; phi -0.0220; x 0.7071; y -0.0156; t_rel 0.9704;
2 r 14.1232; phi -0.0226; x 0.7060; y -0.0160; t_rel 0.9696;
2 r 14.1004; phi -0.0233; x 0.7048; y -0.0164; t_rel 0.9688;
2 r 14.0777; phi -0.0239; x 0.7037; y -0.0168; t_rel 0.9680;
2 r 14.0551; phi -0.0245; x 0.7025; y -0.0172; t_rel 0.9672;
2 r 14.0325; phi -0.0252; x 0.7014; y -0.0176; t_rel 0.9664;
2 r 14.0100; phi -0.0258; x 0.7003; y -0.0181; t_rel 0.9656;
2 r 13.9876; phi -0.0264; x 0.6991; y -0.0185; t_rel 0.9648;
2 r 13.9653; phi -0.0270; x 0.6980; y -0.0189; t_rel 0.9640;
2 r 13.9430; phi -0.0277; x 0.6969; y -0.0193; t_rel 0.9633;
2 r 13.9208; phi -0.0283; x 0.6958; y -0.0197; t_rel 0.9625;
2 r 13.8987; phi -0.0289; x 0.6946; y -0.0201; t_rel 0.9617;
2 r 13.8767; phi -0.0296; x 0.6935; y -0.0205; t_rel 0.9609;
2 r 13.8547; phi -0.0302; x 0.6924; y -0.0209; t_rel 0.9602;
2 r 13.8328; phi -0.0308; x 0.6913; y -0.0213; t_rel 0.9594;
2 r 13.8110; phi -0.0314; x 0.6902; y -0.0217; t_rel 0.9586;
2 r 13.7893; phi -0.0321; x 0.6891; y -0.0221; t_rel 0.9579;
2 r 13.7676; phi -0.0327; x 0.6880; y -0.0225; t_rel 0.9571;
2 r 13.7460; phi -0.0333; x 0.6869; y -0.0229; t_rel 0.9564;
2 r 13.7245; phi -0.0340; x 0.6858; y -0.0233; t_rel 0.9556;
2 r 13.7030; phi -0.0346; x 0.6847; y -0.0237; t_rel 0.9549;
2 r 13.6816; phi -0.0352; x 0.6837; y -0.0241; t_rel 0.9541;
2 r 13.6603; phi -0.0358; x 0.6826; y -0.0245; t_rel 0.9534;
2 r 13.6391; phi -0.0365; x 0.6815; y -0.0249; t_rel 0.9526;
2 r 13.6179; phi -0.0371; x 0.6804; y -0.0253; t_rel 0.9519;
2 r 13.5968; phi -0.0377; x 0.6794; y -0.0256; t_rel 0.9511;
2 r 13.5758; phi -0.0384; x 0.6783; y -0.0260; t_rel 0.9504;
2 r 13.5548; phi -0.0390; x 0.6772; y -0.0264; t_rel 0.9497;
2 r 13.5339; phi -0.0396; x 0.6762; y -0.0268; t_rel 0.9489;
2 r 13.5131; phi -0.0402; x 0.6751; y -0.0272; t_rel 0.9482;
2 r 13.4923; phi -0.0409; x 0.6741; y -0.0276; t_rel 0.9475;
2 r 13.4717; phi -0.0415; x 0.6730; y -0.0279; t_rel 0.9467;
2 r 13.4510; phi -0.0421; x 0.6720; y -0.0283; t_rel 0.9460;
2 r 13.4305; phi -0.0428; x 0.6709; y -0.0287; t_rel 0.9453;
2 r 13.4100; phi -0.0434; x 0.6699; y -0.0291; t_rel 0.9446;
2 r 13.3896; phi -0.0440; x 0.6688; y -0.0295; t_rel 0.9438;
2 r 13.3692; phi -0.0446; x 0.6678; y -0.0298; t_rel 0.9431;
2 r 13.3489; phi -0.0453; x 0.6668; y -0.0302; t_rel 0.9424;
2 r 13.3287; phi -0.0459; x 0.6657; y -0.0306; t_rel 0.9417;
2 r 13.3085; phi -0.0465; x 0.6647; y -0.0309; t_rel 0.9410;
2 r 13.2884; phi -0.0472; x 0.6637; y -0.0313; t_rel 0.9403;
2 r 13.2684; phi -0.0478; x 0.6627; y -0.0317; t_rel 0.9396;
