2 r 14.9994; phi -0.0000; x 0.7500; y -0.0000; t_rel 1.0000;
2 r 14.9987; phi -0.0000; x 0.7499; y -0.0000; t_rel 1.0000;
2 r 14.9703; phi -0.0007; x 0.7485; y -0.0005; t_rel 0.9985;
2 r 14.9440; phi -0.0013; x 0.7472; y -0.0010; t_rel 0.9971;
2 r 14.9177; phi -0.0019; x 0.7459; y -0.0014; t_rel 0.9958;
2 r 14.8914; phi -0.0025; x 0.7446; y -0.0019; t_rel 0.9944;
2 r 14.8652; phi -0.0032; x 0.7433; y -0.0024; t_rel 0.9930;
2 r 14.8390; phi -0.0038; x 0.7419; y -0.0028; t_rel 0.9917;
2 r 14.8128; phi -0.0044; x 0.7406; y -0.0033; t_rel 0.9903;
2 r 14.8060; phi -0.0051; x 0.7403; y -0.0037; t_rel 0.9899;
2 r 14.7798; phi -0.0057; x 0.7390; y -0.0042; t_rel 0.9886;
2 r 14.7538; phi -0.0063; x 0.7377; y -0.0047; t_rel 0.9872;
2 r 14.7278; phi -0.0069; x 0.7364; y -0.0051; t_rel 0.9859;
2 r 14.7019; phi -0.0076; x 0.7351; y -0.0056; t_rel 0.9845;
2 r 14.6760; phi -0.0082; x 0.7338; y -0.0060; t_rel 0.9832;
2 r 14.6501; phi -0.0088; x 0.7325; y -0.0065; t_rel 0.9818;
2 r 14.6433; phi -0.0095; x 0.7321; y -0.0069; t_rel 0.9815;
2 r 14.6175; phi -0.0101; x 0.7308; y -0.0074; t_rel 0.9801;
2 r 14.5917; phi -0.0107; x 0.7295; y -0.0078; t_rel 0.9788;
2 r 14.5660; phi -0.0113; x 0.7283; y -0.0083; t_rel 0.9774;
2 r 14.5403; phi -0.0120; x 0.7270; y -0.0087; t_rel 0.9761;
2 r 14.5146; phi -0.0126; x 0.7257; y -0.0091; t_rel 0.9748;
2 r 14.4987; phi -0.0132; x 0.7249; y -0.0096; t_rel 0.9739;
2 r 14.4823; phi -0.0139; x 0.7240; y -0.0100; t_rel 0.9731;
2 r 14.4567; phi -0.0145; x 0.7228; y -0.0105; t_rel 0.9717;
2 r 14.4312; phi -0.0151; x 0.7215; y -0.0109; t_rel 0.9704;
2 r 14.4058; phi -0.0157; x 0.7202; y -0.0113; t_rel 0.9691;
2 r 14.3804; phi -0.0164; x 0.7189; y -0.0118; t_rel 0.9677;
2 r 14.3666; phi -0.0170; x 0.7182; y -0.0122; t_rel 0.9670;
2 r 14.3483; phi -0.0176; x 0.7173; y -0.0126; t_rel 0.9661;
2 r 14.3230; phi -0.0183; x 0.7160; y -0.0131; t_rel 0.9647;
2 r 14.2977; phi -0.0189; x 0.7148; y -0.0135; t_rel 0.9634;
2 r 14.2725; phi -0.0195; x 0.7135; y -0.0139; t_rel 0.9621;
2 r 14.2473; phi -0.0201; x 0.7122; y -0.0143; t_rel 0.9608;
2 r 14.2406; phi -0.0208; x 0.7119; y -0.0148; t_rel 0.9604;
2 r 14.2155; phi -0.0214; x 0.7106; y -0.0152; t_rel 0.9591;
2 r 14.1904; phi -0.0220; x 0.7093; y -0.0156; t_rel 0.9578;
2 r 14.1653; phi -0.0227; x 0.7081; y -0.0160; t_rel 0.9565;
2 r 14.1403; phi -0.0233; x 0.7068; y -0.0165; t_rel 0.9552;
2 r 14.1337; phi -0.0239; x 0.7065; y -0.0169; t_rel 0.9548;
2 r 14.1087; phi -0.0245; x 0.7052; y -0.0173; t_rel 0.9535;
2 r 14.0838; phi -0.0252; x 0.7040; y -0.0177; t_rel 0.9522;
2 r 14.0589; phi -0.0258; x 0.7027; y -0.0181; t_rel 0.9509;
2 r 14.0341; phi -0.0264; x 0.7015; y -0.0185; t_rel 0.9496;
2 r 14.0276; phi -0.0271; x 0.7011; y -0.0190; t_rel 0.9492;
2 r 14.0027; phi -0.0277; x 0.6999; y -0.0194; t_rel 0.9479;
2 r 13.9780; phi -0.0283; x 0.6986; y -0.0198; t_rel 0.9466;
2 r 13.9533; phi -0.0289; x 0.6974; y -0.0202; t_rel 0.9453;
2 r 13.9286; phi -0.0296; x 0.6961; y -0.0206; t_rel 0.9440;
2 r 13.9221; phi -0.0302; x 0.6958; y -0.0210; t_rel 0.9437;
2 r 13.8975; phi -0.0308; x 0.6945; y -0.0214; t_rel 0.9424;
2 r 13.8730; phi -0.0315; x 0.6933; y -0.0218; t_rel 0.9411;
2 r 13.8484; phi -0.0321; x 0.6921; y -0.0222; t_rel 0.9398;
2 r 13.8373; phi -0.0327; x 0.6915; y -0.0226; t_rel 0.9392;
2 r 13.8175; phi -0.0333; x 0.6905; y -0.0230; t_rel 0.9382;
2 r 13.7930; phi -0.0340; x 0.6893; y -0.0234; t_rel 0.9369;
2 r 13.7686; phi -0.0346; x 0.6880; y -0.0238; t_rel 0.9356;
2 r 13.7457; phi -0.0352; x 0.6869; y -0.0242; t_rel 0.9344;
2 r 13.7379; phi -0.0359; x 0.6865; y -0.0246; t_rel 0.9340;
2 r 13.7135; phi -0.0365; x 0.6852; y -0.0250; t_rel 0.9327;
2 r 13.6893; phi -0.0371; x 0.6840; y -0.0254; t_rel 0.9314;
2 r 13.6651; phi -0.0377; x 0.6828; y -0.0258; t_rel 0.9302;
2 r 13.6587; phi -0.0384; x 0.6824; y -0.0262; t_rel 0.9298;
2 r 13.6345; phi -0.0390; x 0.6812; y -0.0266; t_rel 0.9285;
2 r 13.6103; phi -0.0396; x 0.6800; y -0.0270; t_rel 0.9273;
2 r 13.5863; phi -0.0403; x 0.6788; y -0.0273; t_rel 0.9260;
2 r 13.5799; phi -0.0409; x 0.6784; y -0.0278; t_rel 0.9257;
2 r 13.5559; phi -0.0415; x 0.6772; y -0.0281; t_rel 0.9244;
2 r 13.5318; phi -0.0421; x 0.6760; y -0.0285; t_rel 0.9231;
2 r 13.5079; phi -0.0428; x 0.6748; y -0.0289; t_rel 0.9219;
2 r 13.5015; phi -0.0434; x 0.6744; y -0.0293; t_rel 0.9215;
2 r 13.4776; phi -0.0440; x 0.6732; y -0.0297; t_rel 0.9203;
2 r 13.4538; phi -0.0447; x 0.6720; y -0.0300; t_rel 0.9190;
2 r 13.4330; phi -0.0453; x 0.6710; y -0.0304; t_rel 0.9179;
2 r 13.4236; phi -0.0459; x 0.6705; y -0.0308; t_rel 0.9174;
2 r 13.3998; phi -0.0465; x 0.6693; y -0.0312; t_rel 0.9161;
2 r 13.3759; phi -0.0472; x 0.6681; y -0.0315; t_rel 0.9149;
2 r 13.3672; phi -0.0478; x 0.6676; y -0.0319; t_rel 0.9144;
2 r 13.3454; phi -0.0484; x 0.6665; y -0.0323; t_rel 0.9133;
2 r 13.3214; phi -0.0491; x 0.6653; y -0.0327; t_rel 0.9120;
2 r 13.3002; phi -0.0497; x 0.6642; y -0.0330; t_rel 0.9109;
2 r 13.2905; phi -0.0503; x 0.6637; y -0.0334; t_rel 0.9104;
2 r 13.2663; phi -0.0509; x 0.6625; y -0.0338; t_rel 0.9091;
